,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
44,6,serve,earned,Ace,us,13 -- 9
45,6,serve,errors,Serve,them,13 -- 10
46,6,receive,in_rally,3-Pass,none,13 -- 10
46,6,receive,earned,Spike,us,14 -- 10
47,1,serve,in_rally,2-Serve,none,14 -- 10
47,1,serve,errors,Spike,us,15 -- 10
48,1,serve,earned,Ace,us,16 -- 10
undefined,1,serve,timeout,them 1,undefined,undefined
49,1,serve,in_rally,3-Serve,none,16 -- 10
49,1,serve,errors,Spike,us,17 -- 10
50,1,serve,in_rally,3-Serve,none,17 -- 10
50,1,serve,earned,Block,us,18 -- 10
51,1,serve,earned,Ace,us,19 -- 10
52,1,serve,in_rally,1-Serve,none,19 -- 10
53,1,serve,in_rally,3-FB Pass,none,19 -- 10
53,1,serve,errors,Spike,them,19 -- 11
54,1,receive,in_rally,3-Pass,none,19 -- 11
55,1,receive,in_rally,Hit Still In Play,none,19 -- 11
56,1,receive,in_rally,Dig,none,19 -- 11
56,1,receive,earned,Spike,them,19 -- 12
57,1,receive,in_rally,3-Pass,none,19 -- 12
57,1,receive,earned,Spike,us,20 -- 12
58,2,serve,in_rally,3-Serve,none,20 -- 12
59,2,serve,in_rally,3-FB Pass,none,20 -- 12
60,2,serve,in_rally,Hit Still In Play,none,20 -- 12
60,2,serve,errors,3rd Ball Return,us,21 -- 12
61,2,serve,earned,Ace,us,22 -- 12
62,2,serve,in_rally,1-Serve,none,22 -- 12
63,2,serve,in_rally,Dig,none,22 -- 12
64,2,serve,in_rally,Hit Still In Play,none,22 -- 12
65,2,serve,in_rally,Dig,none,22 -- 12
65,2,serve,earned,Tip,us,23 -- 12
66,2,serve,errors,Serve,them,23 -- 13
67,2,receive,in_rally,3-Pass,none,23 -- 13
68,2,receive,in_rally,Hit Still In Play,none,23 -- 13
69,2,receive,in_rally,Dig,none,23 -- 13
70,2,receive,in_rally,Hit Still In Play,none,23 -- 13
70,2,receive,errors,Spike,us,24 -- 13
71,3,serve,errors,Serve,them,24 -- 14
72,3,receive,errors,Serve,us,25 -- 14
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,1,serve,in_rally,1-Serve,none,0 -- 0
1,1,serve,earned,Spike,them,0 -- 1
2,1,receive,in_rally,1-Pass,none,0 -- 1
3,1,receive,in_rally,Dig,none,0 -- 1
3,1,receive,errors,Dig,them,0 -- 2
4,1,receive,in_rally,2-Pass,none,0 -- 2
5,1,receive,in_rally,Hit Still In Play,none,0 -- 2
6,1,receive,in_rally,Dig,none,0 -- 2
7,1,receive,in_rally,Hit Still In Play,none,0 -- 2
8,1,receive,in_rally,Dig,none,0 -- 2
9,1,receive,in_rally,Dig,none,0 -- 2
10,1,receive,in_rally,Hit Still In Play,none,0 -- 2
10,1,receive,earned,Spike,them,0 -- 3
11,1,receive,in_rally,3-Pass,none,0 -- 3
12,1,receive,in_rally,Hit Still In Play,none,0 -- 3
12,1,receive,earned,Spike,us,1 -- 3
13,2,serve,in_rally,2-Serve,none,1 -- 3
14,2,serve,in_rally,Dig,none,1 -- 3
15,2,serve,in_rally,Hit Still In Play,none,1 -- 3
15,2,serve,earned,Block,us,2 -- 3
16,2,serve,earned,Ace,us,3 -- 3
17,2,serve,in_rally,2-Serve,none,3 -- 3
18,2,serve,in_rally,Dig,none,3 -- 3
18,2,serve,errors,Spike,them,3 -- 4
19,2,receive,in_rally,3-Pass,none,3 -- 4
20,2,receive,in_rally,Hit Still In Play,none,3 -- 4
21,2,receive,in_rally,3-FB Pass,none,3 -- 4
22,2,receive,in_rally,Hit Still In Play,none,3 -- 4
23,2,receive,in_rally,Dig,none,3 -- 4
23,2,receive,errors,Spike,them,3 -- 5
24,2,receive,in_rally,1-Pass,none,3 -- 5
25,2,receive,in_rally,Hit Still In Play,none,3 -- 5
26,2,receive,in_rally,Dig,none,3 -- 5
26,2,receive,earned,Spike,us,4 -- 5
27,3,serve,in_rally,1-Serve,none,4 -- 5
27,3,serve,errors,Spike,us,5 -- 5
28,3,serve,in_rally,2-Serve,none,5 -- 5
29,3,serve,in_rally,Dig,none,5 -- 5
30,3,serve,in_rally,Hit Still In Play,none,5 -- 5
31,3,serve,in_rally,Dig,none,5 -- 5
31,3,serve,earned,Spike,us,6 -- 5
32,3,serve,in_rally,3-Serve,none,6 -- 5
32,3,serve,earned,Spike,them,6 -- 6
33,3,receive,errors,Serve,us,7 -- 6
34,4,serve,in_rally,2-Serve,none,7 -- 6
34,4,serve,errors,Dig,them,7 -- 7
35,4,receive,errors,Receive,them,7 -- 8
36,4,receive,in_rally,1-Pass,none,7 -- 8
36,4,receive,errors,Spike,them,7 -- 9
37,4,receive,in_rally,1-Pass,none,7 -- 9
37,4,receive,earned,Spike,us,8 -- 9
38,5,serve,in_rally,3-Serve,none,8 -- 9
39,5,serve,in_rally,Hit Still In Play,none,8 -- 9
40,5,serve,in_rally,Dig,none,8 -- 9
40,5,serve,earned,Spike,us,9 -- 9
41,5,serve,earned,Ace,us,10 -- 9
42,5,serve,in_rally,3-Serve,none,10 -- 9
43,5,serve,in_rally,Dig,none,10 -- 9
43,5,serve,earned,Spike,us,11 -- 9
44,5,serve,in_rally,3-Serve,none,11 -- 9
45,5,serve,in_rally,Dig,none,11 -- 9
45,5,serve,errors,Spike,them,11 -- 10
46,5,receive,errors,Serve,us,12 -- 10
47,6,serve,errors,Serve,them,12 -- 11
48,6,receive,in_rally,3-Pass,none,12 -- 11
49,6,receive,in_rally,Hit Still In Play,none,12 -- 11
49,6,receive,earned,Spike,us,13 -- 11
50,1,serve,in_rally,3-Serve,none,13 -- 11
51,1,serve,in_rally,3-FB Pass,none,13 -- 11
51,1,serve,errors,Spike,them,13 -- 12
52,1,receive,in_rally,3-Pass,none,13 -- 12
53,1,receive,in_rally,Hit Still In Play,none,13 -- 12
53,1,receive,errors,Dig,them,13 -- 13
54,1,receive,in_rally,2-Pass,none,13 -- 13
55,1,receive,in_rally,Hit Still In Play,none,13 -- 13
56,1,receive,in_rally,Dig,none,13 -- 13
56,1,receive,earned,Spike,us,14 -- 13
57,2,serve,in_rally,3-Serve,none,14 -- 13
57,2,serve,earned,Spike,us,15 -- 13
58,2,serve,in_rally,3-Serve,none,15 -- 13
59,2,serve,in_rally,Dig,none,15 -- 13
60,2,serve,in_rally,Hit Still In Play,none,15 -- 13
60,2,serve,errors,Spike,us,16 -- 13
undefined,2,serve,timeout,them 1,undefined,undefined
61,2,serve,in_rally,2-Serve,none,16 -- 13
61,2,serve,earned,Tip,them,16 -- 14
62,2,receive,in_rally,1-Pass,none,16 -- 14
62,2,receive,faults,Ball Handling,them,16 -- 15
63,2,receive,in_rally,3-Pass,none,16 -- 15
63,2,receive,earned,Spike,us,17 -- 15
64,3,serve,earned,Ace,us,18 -- 15
65,3,serve,in_rally,3-Serve,none,18 -- 15
65,3,serve,errors,Spike,us,19 -- 15
66,3,serve,in_rally,3-Serve,none,19 -- 15
66,3,serve,errors,Spike,us,20 -- 15
67,3,serve,earned,Ace,us,21 -- 15
68,3,serve,in_rally,2-Serve,none,21 -- 15
68,3,serve,errors,3rd Ball Return,us,22 -- 15
69,3,serve,in_rally,2-Serve,none,22 -- 15
69,3,serve,errors,Spike,us,23 -- 15
70,3,serve,in_rally,3-Serve,none,23 -- 15
70,3,serve,earned,Spike,us,24 -- 15
71,3,serve,earned,Ace,us,25 -- 15
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,1,serve,in_rally,1-Serve,none,0 -- 0
2,1,serve,in_rally,Dig,none,0 -- 0
2,1,serve,errors,Set,them,0 -- 1
3,1,receive,in_rally,3-Pass,none,0 -- 1
4,1,receive,in_rally,Hit Still In Play,none,0 -- 1
4,1,receive,earned,Spike,them,0 -- 2
5,1,receive,in_rally,1-Pass,none,0 -- 2
5,1,receive,faults,Net,them,0 -- 3
6,1,receive,errors,Receive,them,0 -- 4
7,1,receive,in_rally,2-Pass,none,0 -- 4
7,1,receive,errors,Spike,them,0 -- 5
8,1,receive,in_rally,Over Pass in Play,none,0 -- 5
9,1,receive,in_rally,Dig,none,0 -- 5
10,1,receive,in_rally,Hit Still In Play,none,0 -- 5
10,1,receive,earned,Block,us,1 -- 5
11,2,serve,errors,Serve,them,1 -- 6
12,2,receive,in_rally,2-Pass,none,1 -- 6
13,2,receive,in_rally,Hit Still In Play,none,1 -- 6
14,2,receive,in_rally,2-FB Pass,none,1 -- 6
14,2,receive,errors,Set,them,1 -- 7
15,2,receive,in_rally,1-Pass,none,1 -- 7
15,2,receive,errors,Spike,us,2 -- 7
16,3,serve,earned,Ace,us,3 -- 7
17,3,serve,in_rally,3-Serve,none,3 -- 7
18,3,serve,in_rally,Dig,none,3 -- 7
19,3,serve,in_rally,Hit Still In Play,none,3 -- 7
19,3,serve,earned,Block,us,4 -- 7
20,3,serve,in_rally,1-Serve,none,4 -- 7
21,3,serve,in_rally,Dig,none,4 -- 7
22,3,serve,in_rally,Dig,none,4 -- 7
23,3,serve,in_rally,Dig,none,4 -- 7
23,3,serve,earned,Spike,us,5 -- 7
24,3,serve,in_rally,1-Serve,none,5 -- 7
25,3,serve,in_rally,Dig,none,5 -- 7
25,3,serve,errors,3rd Ball Return,them,5 -- 8
26,3,receive,errors,Serve,us,6 -- 8
27,4,serve,in_rally,1-Serve,none,6 -- 8
28,4,serve,in_rally,2-FB Pass,none,6 -- 8
28,4,serve,earned,Spike,them,6 -- 9
29,4,receive,in_rally,3-Pass,none,6 -- 9
30,4,receive,in_rally,Hit Still In Play,none,6 -- 9
30,4,receive,errors,Spike,us,7 -- 9
31,5,serve,in_rally,2-Serve,none,7 -- 9
32,5,serve,in_rally,Dig,none,7 -- 9
32,5,serve,errors,3rd Ball Return,them,7 -- 10
33,5,receive,in_rally,1-Pass,none,7 -- 10
33,5,receive,errors,Spike,them,7 -- 11
34,5,receive,in_rally,1-Pass,none,7 -- 11
34,5,receive,earned,Spike,them,7 -- 12
35,5,receive,in_rally,1-Pass,none,7 -- 12
35,5,receive,errors,Dig,them,7 -- 13
undefined,5,receive,timeout,us 1,undefined,undefined
35,5,receive,errors,Serve,us,8 -- 13
36,6,serve,in_rally,2-Serve,none,8 -- 13
37,6,serve,in_rally,Dig,none,8 -- 13
37,6,serve,earned,Spike,us,9 -- 13
38,6,serve,errors,Serve,them,9 -- 14
39,6,receive,errors,Receive,them,9 -- 15
40,6,receive,in_rally,2-Pass,none,9 -- 15
41,6,receive,in_rally,Hit Still In Play,none,9 -- 15
42,6,receive,in_rally,Dig,none,9 -- 15
42,6,receive,errors,Dig,them,9 -- 16
43,6,receive,errors,Serve,us,10 -- 16
44,1,serve,in_rally,2-Serve,none,10 -- 16
44,1,serve,errors,Dig,them,10 -- 17
45,1,receive,in_rally,3-Pass,none,10 -- 17
46,1,receive,in_rally,Hit Still In Play,none,10 -- 17
47,1,receive,in_rally,Dig,none,10 -- 17
48,1,receive,in_rally,Hit Still In Play,none,10 -- 17
49,1,receive,in_rally,Dig,none,10 -- 17
50,1,receive,in_rally,Hit Still In Play,none,10 -- 17
50,1,receive,errors,Dig,them,10 -- 18
51,1,receive,in_rally,1-Pass,none,10 -- 18
51,1,receive,earned,Spike,them,10 -- 19
52,1,receive,in_rally,2-Pass,none,10 -- 19
53,1,receive,in_rally,Hit Still In Play,none,10 -- 19
54,1,receive,in_rally,Dig,none,10 -- 19
55,1,receive,in_rally,Hit Still In Play,none,10 -- 19
55,1,receive,earned,Tip,them,10 -- 20
56,1,receive,in_rally,3-Pass,none,10 -- 20
57,1,receive,in_rally,Hit Still In Play,none,10 -- 20
58,1,receive,in_rally,Dig,none,10 -- 20
58,1,receive,earned,Spike,us,11 -- 20
59,2,serve,in_rally,2-Serve,none,11 -- 20
59,2,serve,errors,Spike,us,12 -- 20
60,2,serve,in_rally,3-Serve,none,12 -- 20
61,2,serve,in_rally,Hit Still In Play,none,12 -- 20
61,2,serve,earned,Spike,them,12 -- 21
62,2,receive,in_rally,3-Pass,none,12 -- 21
62,2,receive,errors,Spike,them,12 -- 22
63,2,receive,in_rally,2-Pass,none,12 -- 22
63,2,receive,earned,Spike,us,13 -- 22
64,3,serve,in_rally,1-Serve,none,13 -- 22
64,3,serve,earned,Spike,them,13 -- 23
65,3,receive,in_rally,Over Pass in Play,none,13 -- 23
65,3,receive,errors,Free Ball Receive,us,14 -- 23
,,,,,,
,,,,,,
66,4,serve,in_rally,1-Serve,none,14 -- 24
67,4,serve,in_rally,Dig,none,14 -- 24
68,4,serve,in_rally,Dig,none,14 -- 24
69,4,serve,in_rally,Hit Still In Play,none,14 -- 24
69,4,serve,earned,Spike,them,14 -- 25
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,2-Pass,none,0 -- 0
2,6,receive,in_rally,Hit Still In Play,none,0 -- 0
3,6,receive,in_rally,Hit Still In Play,none,0 -- 0
3,6,receive,errors,Dig,them,0 -- 1
4,6,receive,in_rally,3-Pass,none,0 -- 1
4,6,receive,earned,Spike,us,1 -- 1
5,1,serve,in_rally,3-Serve,none,1 -- 1
6,1,serve,in_rally,3-FB Pass,none,1 -- 1
6,1,serve,earned,Spike,us,2 -- 1
7,1,serve,in_rally,2-Serve,none,2 -- 1
8,1,serve,in_rally,Dig,none,2 -- 1
9,1,serve,in_rally,Hit Still In Play,none,2 -- 1
9,1,serve,errors,Dig,them,2 -- 2
10,1,receive,errors,Serve,us,3 -- 2
11,2,serve,earned,Ace,us,4 -- 2
12,2,serve,in_rally,1-Serve,none,4 -- 2
12,2,serve,earned,Spike,them,4 -- 3
13,2,receive,in_rally,2-Pass,none,4 -- 3
13,2,receive,earned,Spike,us,5 -- 3
14,3,serve,in_rally,1-Serve,none,5 -- 3
14,3,serve,earned,Spike,them,5 -- 4
15,3,receive,in_rally,2-Pass,none,5 -- 4
15,3,receive,errors,Spike,them,5 -- 5
16,3,receive,errors,Serve,us,6 -- 5
17,4,serve,in_rally,3-Serve,none,6 -- 5
18,4,serve,in_rally,Dig,none,6 -- 5
18,4,serve,earned,Spike,us,7 -- 5
19,4,serve,in_rally,3-Serve,none,7 -- 5
19,4,serve,errors,Spike,us,8 -- 5
undefined,4,serve,timeout,them 1,undefined,undefined
20,4,serve,in_rally,3-Serve,none,8 -- 5
21,4,serve,in_rally,Dig,none,8 -- 5
21,4,serve,errors,Spike,them,8 -- 6
22,4,receive,in_rally,1-Pass,none,8 -- 6
23,4,receive,in_rally,Dig,none,8 -- 6
23,4,receive,earned,Spike,us,9 -- 6
24,5,serve,in_rally,2-Serve,none,9 -- 6
24,5,serve,errors,Dig,them,9 -- 7
25,5,receive,in_rally,1-Pass,none,9 -- 7
26,5,receive,in_rally,Hit Still In Play,none,9 -- 7
26,5,receive,errors,Tip,us,10 -- 7
27,6,serve,errors,Serve,them,10 -- 8
28,6,receive,in_rally,3-Pass,none,10 -- 8
29,6,receive,in_rally,Hit Still In Play,none,10 -- 8
29,6,receive,errors,Spike,us,11 -- 8
30,1,serve,in_rally,3-Serve,none,11 -- 8
30,1,serve,errors,Dig,them,11 -- 9
31,1,receive,in_rally,1-Pass,none,11 -- 9
31,1,receive,errors,3rd Ball Return,them,11 -- 10
32,1,receive,in_rally,3-Pass,none,11 -- 10
32,1,receive,errors,Spike,them,11 -- 11
33,1,receive,in_rally,2-Pass,none,11 -- 11
34,1,receive,in_rally,Hit Still In Play,none,11 -- 11
35,1,receive,in_rally,Hit Still In Play,none,11 -- 11
35,1,receive,errors,3rd Ball Return,us,12 -- 11
36,2,serve,in_rally,3-Serve,none,12 -- 11
36,2,serve,errors,3rd Ball Return,us,13 -- 11
37,2,serve,errors,Serve,them,13 -- 12
38,2,receive,in_rally,3-Pass,none,13 -- 12
38,2,receive,earned,Spike,us,14 -- 12
39,3,serve,in_rally,2-Serve,none,14 -- 12
39,3,serve,earned,Spike,them,14 -- 13
40,3,receive,in_rally,1-Pass,none,14 -- 13
40,3,receive,errors,Spike,them,14 -- 14
41,3,receive,in_rally,3-Pass,none,14 -- 14
41,3,receive,earned,Spike,us,15 -- 14
42,4,serve,in_rally,3-Serve,none,15 -- 14
42,4,serve,errors,3rd Ball Return,us,16 -- 14
43,4,serve,in_rally,3-Serve,none,16 -- 14
44,4,serve,in_rally,Dig,none,16 -- 14
44,4,serve,errors,Tip,them,16 -- 15
45,4,receive,in_rally,1-Pass,none,16 -- 15
45,4,receive,earned,Spike,us,17 -- 15
46,5,serve,in_rally,3-Serve,none,17 -- 15
46,5,serve,errors,Spike,us,18 -- 15
47,5,serve,in_rally,2-Serve,none,18 -- 15
48,5,serve,in_rally,3-FB Pass,none,18 -- 15
48,5,serve,earned,Spike,us,19 -- 15
undefined,5,serve,timeout,them 2,undefined,undefined
48,5,serve,errors,Serve,them,19 -- 16
49,5,receive,in_rally,1-Pass,none,19 -- 16
50,5,receive,in_rally,Hit Still In Play,none,19 -- 16
51,5,receive,in_rally,Dig,none,19 -- 16
52,5,receive,in_rally,Dig,none,19 -- 16
53,5,receive,in_rally,Hit Still In Play,none,19 -- 16
53,5,receive,errors,Dig,them,19 -- 17
54,5,receive,in_rally,3-Pass,none,19 -- 17
55,5,receive,in_rally,Hit Still In Play,none,19 -- 17
55,5,receive,earned,Tip,them,19 -- 18
undefined,5,receive,timeout,us 1,undefined,undefined
56,5,receive,in_rally,3-Pass,none,19 -- 18
56,5,receive,earned,Spike,us,20 -- 18
57,6,serve,in_rally,2-Serve,none,20 -- 18
57,6,serve,errors,Dig,them,20 -- 19
58,6,receive,in_rally,3-Pass,none,20 -- 19
58,6,receive,earned,Spike,us,21 -- 19
59,1,serve,in_rally,1-Serve,none,21 -- 19
59,1,serve,earned,Block,us,22 -- 19
60,1,serve,in_rally,3-Serve,none,22 -- 19
61,1,serve,in_rally,Dig,none,22 -- 19
62,1,serve,in_rally,Hit Still In Play,none,22 -- 19
63,1,serve,in_rally,3-FB Pass,none,22 -- 19
63,1,serve,faults,Net,us,23 -- 19
64,1,serve,in_rally,2-Serve,none,23 -- 19
64,1,serve,earned,Tip,them,23 -- 20
65,1,receive,in_rally,3-Pass,none,23 -- 20
66,1,receive,in_rally,Hit Still In Play,none,23 -- 20
66,1,receive,earned,Spike,them,23 -- 21
67,1,receive,in_rally,1-Pass,none,23 -- 21
67,1,receive,errors,Spike,them,23 -- 22
undefined,1,receive,timeout,us 2,undefined,undefined
68,1,receive,in_rally,3-Pass,none,23 -- 22
68,1,receive,errors,Spike,them,23 -- 23
69,1,receive,in_rally,3-Pass,none,23 -- 23
69,1,receive,earned,Spike,us,24 -- 23
70,2,serve,in_rally,1-Serve,none,24 -- 23
70,2,serve,earned,Spike,them,24 -- 24
71,2,receive,in_rally,3-Pass,none,24 -- 24
71,2,receive,earned,Spike,us,25 -- 24
72,3,serve,in_rally,2-Serve,none,25 -- 24
72,3,serve,errors,Tip,us,26 -- 24
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,2-Pass,none,0 -- 0
2,6,receive,in_rally,Hit Still In Play,none,0 -- 0
3,6,receive,in_rally,Dig,none,0 -- 0
3,6,receive,earned,Spike,them,0 -- 1
4,6,receive,in_rally,1-Pass,none,0 -- 1
5,6,receive,in_rally,Dig,none,0 -- 1
5,6,receive,earned,Spike,us,1 -- 1
6,1,serve,in_rally,2-Serve,none,1 -- 1
6,1,serve,errors,Dig,them,1 -- 2
7,1,receive,in_rally,1-Pass,none,1 -- 2
7,1,receive,errors,Dig,them,1 -- 3
8,1,receive,in_rally,3-Pass,none,1 -- 3
8,1,receive,earned,Spike,us,2 -- 3
9,2,serve,in_rally,1-Serve,none,2 -- 3
9,2,serve,earned,Spike,them,2 -- 4
10,2,receive,in_rally,1-Pass,none,2 -- 4
11,2,receive,in_rally,Hit Still In Play,none,2 -- 4
11,2,receive,errors,Spike,us,3 -- 4
12,3,serve,in_rally,2-Serve,none,3 -- 4
12,3,serve,errors,Spike,us,4 -- 4
13,3,serve,in_rally,3-Serve,none,4 -- 4
13,3,serve,earned,Spike,them,4 -- 5
14,3,receive,in_rally,1-Pass,none,4 -- 5
14,3,receive,earned,Spike,us,5 -- 5
15,4,serve,in_rally,2-Serve,none,5 -- 5
15,4,serve,errors,Dig,them,5 -- 6
16,4,receive,in_rally,3-Pass,none,5 -- 6
16,4,receive,earned,Spike,us,6 -- 6
17,5,serve,in_rally,3-Serve,none,6 -- 6
17,5,serve,faults,Ball Handling,us,7 -- 6
18,5,serve,in_rally,2-Serve,none,7 -- 6
19,5,serve,in_rally,Dig,none,7 -- 6
19,5,serve,earned,Spike,us,8 -- 6
20,5,serve,in_rally,3-Serve,none,8 -- 6
20,5,serve,earned,Block,us,9 -- 6
undefined,5,serve,timeout,them 1,undefined,undefined
21,5,serve,in_rally,3-Serve,none,9 -- 6
22,5,serve,in_rally,Dig,none,9 -- 6
22,5,serve,errors,Spike,them,9 -- 7
23,5,receive,errors,Receive,them,9 -- 8
24,5,receive,errors,Serve,us,10 -- 8
25,6,serve,in_rally,2-Serve,none,10 -- 8
25,6,serve,errors,Spike,us,11 -- 8
26,6,serve,in_rally,3-Serve,none,11 -- 8
27,6,serve,in_rally,3-FB Pass,none,11 -- 8
27,6,serve,errors,Spike,them,11 -- 9
28,6,receive,in_rally,3-Pass,none,11 -- 9
28,6,receive,earned,Tip,us,12 -- 9
29,1,serve,errors,Serve,them,12 -- 10
30,1,receive,in_rally,1-Pass,none,12 -- 10
30,1,receive,earned,Spike,them,12 -- 11
31,1,receive,in_rally,1-Pass,none,12 -- 11
31,1,receive,errors,Spike,them,12 -- 12
32,1,receive,in_rally,2-Pass,none,12 -- 12
33,1,receive,in_rally,Hit Still In Play,none,12 -- 12
34,1,receive,in_rally,Dig,none,12 -- 12
35,1,receive,in_rally,Hit Still In Play,none,12 -- 12
35,1,receive,earned,Spike,them,12 -- 13
36,1,receive,in_rally,2-Pass,none,12 -- 13
36,1,receive,earned,Spike,us,13 -- 13
37,2,serve,in_rally,2-Serve,none,13 -- 13
37,2,serve,errors,Dig,them,13 -- 14
38,2,receive,in_rally,2-Pass,none,13 -- 14
39,2,receive,in_rally,Hit Still In Play,none,13 -- 14
40,2,receive,in_rally,Dig,none,13 -- 14
40,2,receive,errors,3rd Ball Return,them,13 -- 15
41,2,receive,in_rally,3-Pass,none,13 -- 15
41,2,receive,earned,Spike,us,14 -- 15
42,3,serve,errors,Serve,them,14 -- 16
43,3,receive,in_rally,3-Pass,none,14 -- 16
43,3,receive,errors,Set,them,14 -- 17
44,3,receive,in_rally,3-Pass,none,14 -- 17
45,3,receive,in_rally,Hit Still In Play,none,14 -- 17
45,3,receive,errors,3rd Ball Return,us,15 -- 17
46,4,serve,errors,Serve,them,15 -- 18
47,4,receive,in_rally,2-Pass,none,15 -- 18
47,4,receive,errors,Spike,them,15 -- 19
48,4,receive,in_rally,2-Pass,none,15 -- 19
48,4,receive,earned,Tip,us,16 -- 19
49,5,serve,earned,Ace,us,17 -- 19
50,5,serve,in_rally,3-Serve,none,17 -- 19
50,5,serve,earned,Spike,us,18 -- 19
51,5,serve,errors,Serve,them,18 -- 20
52,5,receive,in_rally,2-Pass,none,18 -- 20
52,5,receive,errors,Spike,them,18 -- 21
53,5,receive,in_rally,2-Pass,none,18 -- 21
54,5,receive,in_rally,Hit Still In Play,none,18 -- 21
55,5,receive,in_rally,Dig,none,18 -- 21
55,5,receive,errors,Whose Ball?,them,18 -- 22
undefined,5,receive,timeout,us 1,undefined,undefined
56,5,receive,in_rally,1-Pass,none,18 -- 22
56,5,receive,earned,Spike,us,19 -- 22
57,6,serve,errors,Serve,them,19 -- 23
58,6,receive,in_rally,2-Pass,none,19 -- 23
58,6,receive,errors,Spike,them,19 -- 24
59,6,receive,in_rally,3-Pass,none,19 -- 24
60,6,receive,in_rally,Hit Still In Play,none,19 -- 24
60,6,receive,errors,Set,us,20 -- 24
61,1,serve,in_rally,2-Serve,none,20 -- 24
61,1,serve,earned,Spike,them,20 -- 25
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,1,serve,in_rally,1-Serve,none,0 -- 0
1,1,serve,errors,Spike,us,1 -- 0
2,1,serve,errors,Serve,them,1 -- 1
3,1,receive,in_rally,3-Pass,none,1 -- 1
3,1,receive,errors,Spike,them,1 -- 2
4,1,receive,errors,Serve,us,2 -- 2
5,2,serve,in_rally,3-Serve,none,2 -- 2
5,2,serve,earned,Spike,us,3 -- 2
6,2,serve,earned,Ace,us,4 -- 2
7,2,serve,in_rally,2-Serve,none,4 -- 2
7,2,serve,errors,Dig,them,4 -- 3
8,2,receive,in_rally,Over Pass in Play,none,4 -- 3
9,2,receive,in_rally,Hit Still In Play,none,4 -- 3
10,2,receive,in_rally,3-FB Pass,none,4 -- 3
11,2,receive,in_rally,Hit Still In Play,none,4 -- 3
12,2,receive,in_rally,Dig,none,4 -- 3
12,2,receive,earned,Spike,us,5 -- 3
13,3,serve,in_rally,2-Serve,none,5 -- 3
13,3,serve,earned,Tip,them,5 -- 4
14,3,receive,in_rally,1-Pass,none,5 -- 4
14,3,receive,errors,3rd Ball Return,them,5 -- 5
15,3,receive,in_rally,2-Pass,none,5 -- 5
16,3,receive,in_rally,Hit Still In Play,none,5 -- 5
16,3,receive,errors,3rd Ball Return,us,6 -- 5
17,4,serve,in_rally,3-Serve,none,6 -- 5
18,4,serve,in_rally,Dig,none,6 -- 5
19,4,serve,in_rally,3-FB Pass,none,6 -- 5
19,4,serve,earned,Spike,us,7 -- 5
20,4,serve,in_rally,3-Serve,none,7 -- 5
21,4,serve,in_rally,3-FB Pass,none,7 -- 5
21,4,serve,earned,Spike,us,8 -- 5
22,4,serve,in_rally,3-Serve,none,8 -- 5
22,4,serve,errors,Spike,them,8 -- 6
23,4,receive,in_rally,3-Pass,none,8 -- 6
23,4,receive,errors,Spike,them,8 -- 7
24,4,receive,in_rally,2-Pass,none,8 -- 7
24,4,receive,earned,Spike,us,9 -- 7
25,5,serve,in_rally,3-Serve,none,9 -- 7
25,5,serve,earned,Spike,them,9 -- 8
26,5,receive,in_rally,1-Pass,none,9 -- 8
26,5,receive,earned,Spike,us,10 -- 8
27,6,serve,in_rally,2-Serve,none,10 -- 8
27,6,serve,errors,Spike,us,11 -- 8
28,6,serve,in_rally,1-Serve,none,11 -- 8
28,6,serve,earned,Spike,them,11 -- 9
29,6,receive,in_rally,Over Pass in Play,none,11 -- 9
29,6,receive,errors,Dig,them,11 -- 10
30,6,receive,errors,Receive,them,11 -- 11
31,6,receive,in_rally,3-Pass,none,11 -- 11
31,6,receive,errors,Spike,them,11 -- 12
32,6,receive,in_rally,2-Pass,none,11 -- 12
32,6,receive,earned,Spike,us,12 -- 12
33,1,serve,in_rally,1-Serve,none,12 -- 12
34,1,serve,in_rally,Dig,none,12 -- 12
34,1,serve,earned,Spike,us,13 -- 12
35,1,serve,in_rally,2-Serve,none,13 -- 12
35,1,serve,errors,Free Ball Receive,them,13 -- 13
36,1,receive,errors,Receive,them,13 -- 14
37,1,receive,in_rally,1-Pass,none,13 -- 14
37,1,receive,errors,Spike,them,13 -- 15
38,1,receive,errors,Serve,us,14 -- 15
39,2,serve,in_rally,3-Serve,none,14 -- 15
39,2,serve,errors,Spike,them,14 -- 16
40,2,receive,in_rally,1-Pass,none,14 -- 16
41,2,receive,in_rally,Hit Still In Play,none,14 -- 16
42,2,receive,in_rally,Dig,none,14 -- 16
42,2,receive,errors,Spike,them,14 -- 17
undefined,2,receive,timeout,us 1,undefined,undefined
43,2,receive,in_rally,2-Pass,none,14 -- 17
43,2,receive,errors,Spike,them,14 -- 18
