,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
10,1,serve,in_rally,2-Serve,none,7 -- 0
11,1,serve,in_rally,Dig,none,7 -- 0
12,1,serve,in_rally,Hit Still In Play,none,7 -- 0
13,1,serve,in_rally,Dig,none,7 -- 0
14,1,serve,in_rally,Hit Still In Play,none,7 -- 0
15,1,serve,in_rally,Dig,none,7 -- 0
15,1,serve,faults,Net,us,8 -- 0
16,1,serve,earned,Ace,us,9 -- 0
undefined,1,serve,timeout,them 1,undefined,undefined
17,1,serve,in_rally,2-Serve,none,9 -- 0
17,1,serve,earned,Spike,them,9 -- 1
18,1,receive,in_rally,1-Pass,none,9 -- 1
18,1,receive,faults,Net,us,10 -- 1
19,2,serve,in_rally,3-Serve,none,10 -- 1
19,2,serve,errors,3rd Ball Return,us,11 -- 1
20,2,serve,earned,Ace,us,12 -- 1
21,2,serve,earned,Ace,us,13 -- 1
22,2,serve,earned,Ace,us,14 -- 1
23,2,serve,earned,Ace,us,15 -- 1
24,2,serve,in_rally,3-Serve,none,15 -- 1
25,2,serve,in_rally,3-FB Pass,none,15 -- 1
25,2,serve,earned,Spike,us,16 -- 1
26,2,serve,errors,Serve,them,16 -- 2
27,2,receive,in_rally,2-Pass,none,16 -- 2
27,2,receive,earned,Tip,us,17 -- 2
28,3,serve,in_rally,2-Serve,none,17 -- 2
28,3,serve,errors,Dig,them,17 -- 3
29,3,receive,in_rally,2-Pass,none,17 -- 3
29,3,receive,earned,Spike,us,18 -- 3
30,4,serve,earned,Ace,us,19 -- 3
31,4,serve,in_rally,2-Serve,none,19 -- 3
31,4,serve,faults,Ball Handling,us,20 -- 3
32,4,serve,in_rally,3-Serve,none,20 -- 3
33,4,serve,in_rally,Dig,none,20 -- 3
33,4,serve,earned,Spike,them,20 -- 4
34,4,receive,errors,Serve,us,21 -- 4
35,5,serve,in_rally,2-Serve,none,21 -- 4
35,5,serve,earned,Spike,them,21 -- 5
36,5,receive,in_rally,1-Pass,none,21 -- 5
37,5,receive,in_rally,Hit Still In Play,none,21 -- 5
37,5,receive,errors,Dig,them,21 -- 6
38,5,receive,in_rally,1-Pass,none,21 -- 6
38,5,receive,errors,Set,them,21 -- 7
39,5,receive,in_rally,3-Pass,none,21 -- 7
39,5,receive,earned,Spike,us,22 -- 7
40,6,serve,earned,Ace,us,23 -- 7
41,6,serve,in_rally,2-Serve,none,23 -- 7
42,6,serve,in_rally,Dig,none,23 -- 7
42,6,serve,earned,Spike,us,24 -- 7
43,6,serve,in_rally,3-Serve,none,24 -- 7
43,6,serve,errors,Spike,us,25 -- 7
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,1,serve,in_rally,3-Serve,none,0 -- 0
2,1,serve,in_rally,Dig,none,0 -- 0
2,1,serve,earned,Spike,us,1 -- 0
3,1,serve,in_rally,2-Serve,none,1 -- 0
3,1,serve,earned,Dump,them,1 -- 1
4,1,receive,in_rally,2-Pass,none,1 -- 1
5,1,receive,in_rally,Hit Still In Play,none,1 -- 1
6,1,receive,in_rally,3-FB Pass,none,1 -- 1
6,1,receive,earned,Spike,us,2 -- 1
7,2,serve,in_rally,3-Serve,none,2 -- 1
7,2,serve,errors,Spike,them,2 -- 2
8,2,receive,in_rally,1-Pass,none,2 -- 2
8,2,receive,earned,Tip,us,3 -- 2
9,3,serve,errors,Serve,them,3 -- 3
10,3,receive,errors,Receive,them,3 -- 4
11,3,receive,in_rally,3-Pass,none,3 -- 4
11,3,receive,earned,Spike,us,4 -- 4
12,4,serve,earned,Ace,us,5 -- 4
13,4,serve,in_rally,3-Serve,none,5 -- 4
14,4,serve,in_rally,3-FB Pass,none,5 -- 4
14,4,serve,earned,Tip,us,6 -- 4
15,4,serve,earned,Ace,us,7 -- 4
16,4,serve,errors,Serve,them,7 -- 5
17,4,receive,in_rally,1-Pass,none,7 -- 5
17,4,receive,earned,Spike,us,8 -- 5
18,5,serve,in_rally,3-Serve,none,8 -- 5
19,5,serve,in_rally,Dig,none,8 -- 5
20,5,serve,in_rally,Hit Still In Play,none,8 -- 5
21,5,serve,in_rally,Dig,none,8 -- 5
21,5,serve,errors,2nd Ball Return,them,8 -- 6
22,5,receive,in_rally,2-Pass,none,8 -- 6
22,5,receive,earned,Spike,us,9 -- 6
23,6,serve,earned,Ace,us,10 -- 6
24,6,serve,earned,Spike,them,10 -- 7
,,,,,,
,,,,,,
,,,,,,
25,6,receive,in_rally,2-Pass,none,11 -- 8
26,6,receive,in_rally,Hit Still In Play,none,11 -- 8
26,6,receive,errors,3rd Ball Return,us,12 -- 8
27,1,serve,errors,Serve,them,12 -- 9
28,1,receive,errors,3rd Ball Return,us,13 -- 9
,,,,,,
,,,,,,
28,2,serve,earned,Ace,us,13 -- 9
,,,,,,
,,,,,,
29,2,serve,in_rally,3-Serve,none,13 -- 8
30,2,serve,in_rally,3-FB Pass,none,13 -- 8
30,2,serve,earned,Spike,us,14 -- 8
31,2,serve,in_rally,3-Serve,none,14 -- 8
31,2,serve,errors,Spike,us,15 -- 8
,,,,,,
,,,,,,
31,2,serve,earned,Ace,us,15 -- 8
,,,,,,
,,,,,,
31,2,serve,errors,Serve,them,16 -- 9
32,2,receive,in_rally,3-Pass,none,16 -- 9
33,2,receive,in_rally,Hit Still In Play,none,16 -- 9
34,2,receive,in_rally,Dig,none,16 -- 9
34,2,receive,errors,Spike,them,16 -- 10
35,2,receive,errors,Serve,us,17 -- 10
36,3,serve,in_rally,2-Serve,none,17 -- 10
37,3,serve,in_rally,Dig,none,17 -- 10
37,3,serve,earned,Spike,us,18 -- 10
38,3,serve,in_rally,1-Serve,none,18 -- 10
39,3,serve,in_rally,Dig,none,18 -- 10
39,3,serve,errors,Dig,them,18 -- 11
,,,,,,
,,,,,,
40,3,receive,in_rally,Over Pass in Play,none,17 -- 11
40,3,receive,errors,Dig,them,17 -- 12
41,3,receive,in_rally,2-Pass,none,17 -- 12
42,3,receive,in_rally,Hit Still In Play,none,17 -- 12
43,3,receive,in_rally,2-FB Pass,none,17 -- 12
44,3,receive,in_rally,Hit Still In Play,none,17 -- 12
44,3,receive,errors,Dig,them,17 -- 13
45,3,receive,in_rally,1-Pass,none,17 -- 13
45,3,receive,earned,Spike,us,18 -- 13
46,4,serve,earned,Ace,us,19 -- 13
undefined,4,serve,timeout,them 1,undefined,undefined
47,4,serve,in_rally,3-Serve,none,19 -- 13
47,4,serve,errors,Set,us,20 -- 13
48,4,serve,in_rally,2-Serve,none,20 -- 13
48,4,serve,errors,Spike,us,21 -- 13
49,4,serve,earned,Ace,us,22 -- 13
50,4,serve,earned,Ace,us,23 -- 13
51,4,serve,earned,Ace,us,24 -- 13
52,4,serve,earned,Ace,us,25 -- 13
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,1,serve,in_rally,1-Serve,none,0 -- 0
1,1,serve,errors,Spike,us,1 -- 0
2,1,serve,in_rally,2-Serve,none,1 -- 0
2,1,serve,faults,Under,them,1 -- 1
3,1,receive,in_rally,1-Pass,none,1 -- 1
4,1,receive,in_rally,Hit Still In Play,none,1 -- 1
5,1,receive,in_rally,Dig,none,1 -- 1
6,1,receive,in_rally,Hit Still In Play,none,1 -- 1
6,1,receive,earned,Tip,them,1 -- 2
7,1,receive,errors,Receive,them,1 -- 3
8,1,receive,errors,Receive,them,1 -- 4
9,1,receive,errors,Receive,them,1 -- 5
10,1,receive,errors,Serve,us,2 -- 5
11,2,serve,errors,Serve,them,2 -- 6
12,2,receive,errors,Receive,them,2 -- 7
13,2,receive,errors,Serve,us,3 -- 7
14,3,serve,in_rally,1-Serve,none,3 -- 7
14,3,serve,earned,Spike,them,3 -- 8
15,3,receive,in_rally,2-Pass,none,3 -- 8
15,3,receive,earned,Spike,us,4 -- 8
16,4,serve,in_rally,2-Serve,none,4 -- 8
16,4,serve,earned,Tip,them,4 -- 9
17,4,receive,errors,Receive,them,4 -- 10
18,4,receive,errors,Serve,us,5 -- 10
19,5,serve,in_rally,1-Serve,none,5 -- 10
19,5,serve,earned,Spike,them,5 -- 11
20,5,receive,in_rally,2-Pass,none,5 -- 11
21,5,receive,in_rally,Hit Still In Play,none,5 -- 11
22,5,receive,in_rally,3-FB Pass,none,5 -- 11
22,5,receive,earned,Spike,us,6 -- 11
23,6,serve,in_rally,2-Serve,none,6 -- 11
24,6,serve,in_rally,Dig,none,6 -- 11
25,6,serve,in_rally,3-FB Pass,none,6 -- 11
25,6,serve,earned,Spike,us,7 -- 11
26,6,serve,errors,Serve,them,7 -- 12
27,6,receive,in_rally,1-Pass,none,7 -- 12
28,6,receive,in_rally,Dig,none,7 -- 12
28,6,receive,earned,Spike,us,8 -- 12
29,1,serve,in_rally,2-Serve,none,8 -- 12
29,1,serve,errors,Dig,them,8 -- 13
30,1,receive,in_rally,1-Pass,none,8 -- 13
31,1,receive,in_rally,Hit Still In Play,none,8 -- 13
31,1,receive,earned,Spike,them,8 -- 14
undefined,1,receive,timeout,us 1,undefined,undefined
31,1,receive,errors,Serve,us,9 -- 14
32,2,serve,in_rally,2-Serve,none,9 -- 14
33,2,serve,in_rally,Dig,none,9 -- 14
33,2,serve,errors,Tip,them,9 -- 15
34,2,receive,in_rally,3-Pass,none,9 -- 15
35,2,receive,in_rally,Hit Still In Play,none,9 -- 15
36,2,receive,in_rally,Dig,none,9 -- 15
36,2,receive,earned,Spike,them,9 -- 16
37,2,receive,in_rally,3-Pass,none,9 -- 16
37,2,receive,errors,Spike,them,9 -- 17
38,2,receive,in_rally,3-Pass,none,9 -- 17
38,2,receive,earned,Tip,us,10 -- 17
39,3,serve,in_rally,2-Serve,none,10 -- 17
40,3,serve,in_rally,Dig,none,10 -- 17
41,3,serve,in_rally,Hit Still In Play,none,10 -- 17
41,3,serve,faults,Net,them,10 -- 18
42,3,receive,in_rally,3-Pass,none,10 -- 18
43,3,receive,in_rally,Hit Still In Play,none,10 -- 18
43,3,receive,earned,Spike,us,11 -- 18
44,4,serve,in_rally,2-Serve,none,11 -- 18
45,4,serve,in_rally,Dig,none,11 -- 18
46,4,serve,in_rally,Hit Still In Play,none,11 -- 18
47,4,serve,in_rally,Hit Still In Play,none,11 -- 18
47,4,serve,faults,Net,them,11 -- 19
48,4,receive,errors,Serve,us,12 -- 19
49,5,serve,in_rally,2-Serve,none,12 -- 19
49,5,serve,faults,Net,us,13 -- 19
50,5,serve,errors,Serve,them,13 -- 20
51,5,receive,in_rally,1-Pass,none,13 -- 20
52,5,receive,in_rally,Hit Still In Play,none,13 -- 20
52,5,receive,earned,Spike,us,14 -- 20
53,6,serve,in_rally,2-Serve,none,14 -- 20
53,6,serve,errors,Dig,them,14 -- 21
54,6,receive,in_rally,3-Pass,none,14 -- 21
54,6,receive,earned,Spike,us,15 -- 21
55,1,serve,in_rally,3-Serve,none,15 -- 21
55,1,serve,errors,Spike,us,16 -- 21
56,1,serve,earned,Ace,us,17 -- 21
57,1,serve,in_rally,2-Serve,none,17 -- 21
57,1,serve,earned,Spike,them,17 -- 22
58,1,receive,errors,Serve,us,18 -- 22
59,2,serve,in_rally,2-Serve,none,18 -- 22
59,2,serve,earned,Tip,them,18 -- 23
60,2,receive,in_rally,3-Pass,none,18 -- 23
60,2,receive,errors,Spike,them,18 -- 24
61,2,receive,in_rally,3-Pass,none,18 -- 24
62,2,receive,in_rally,Hit Still In Play,none,18 -- 24
63,2,receive,in_rally,3-FB Pass,none,18 -- 24
64,2,receive,in_rally,Hit Still In Play,none,18 -- 24
65,2,receive,in_rally,1-FB Pass,none,18 -- 24
66,2,receive,in_rally,Hit Still In Play,none,18 -- 24
67,2,receive,in_rally,Dig,none,18 -- 24
68,2,receive,in_rally,Hit Still In Play,none,18 -- 24
69,2,receive,in_rally,Hit Still In Play,none,18 -- 24
69,2,receive,earned,Spike,them,18 -- 25
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,2-Pass,none,0 -- 0
2,6,receive,in_rally,Hit Still In Play,none,0 -- 0
3,6,receive,in_rally,Dig,none,0 -- 0
4,6,receive,in_rally,Hit Still In Play,none,0 -- 0
4,6,receive,errors,Spike,us,1 -- 0
5,1,serve,in_rally,2-Serve,none,1 -- 0
5,1,serve,earned,Spike,them,1 -- 1
6,1,receive,in_rally,2-Pass,none,1 -- 1
6,1,receive,earned,Spike,us,2 -- 1
7,2,serve,in_rally,3-Serve,none,2 -- 1
8,2,serve,in_rally,Dig,none,2 -- 1
9,2,serve,in_rally,3-FB Pass,none,2 -- 1
9,2,serve,earned,Spike,us,3 -- 1
10,2,serve,in_rally,3-Serve,none,3 -- 1
10,2,serve,errors,2nd Ball Return,us,4 -- 1
11,2,serve,earned,Ace,us,5 -- 1
12,2,serve,in_rally,3-Serve,none,5 -- 1
13,2,serve,in_rally,Hit Still In Play,none,5 -- 1
14,2,serve,in_rally,3-FB Pass,none,5 -- 1
15,2,serve,in_rally,Hit Still In Play,none,5 -- 1
16,2,serve,in_rally,2-FB Pass,none,5 -- 1
16,2,serve,earned,Spike,us,6 -- 1
undefined,2,serve,timeout,them 1,undefined,undefined
16,2,serve,earned,Ace,us,7 -- 1
17,2,serve,errors,Serve,them,7 -- 2
18,2,receive,in_rally,3-Pass,none,7 -- 2
18,2,receive,earned,Tip,us,8 -- 2
19,3,serve,in_rally,3-Serve,none,8 -- 2
20,3,serve,in_rally,Dig,none,8 -- 2
20,3,serve,earned,Spike,us,9 -- 2
21,3,serve,in_rally,3-Serve,none,9 -- 2
22,3,serve,in_rally,Dig,none,9 -- 2
23,3,serve,in_rally,Hit Still In Play,none,9 -- 2
23,3,serve,errors,Spike,us,10 -- 2
24,3,serve,in_rally,3-Serve,none,10 -- 2
24,3,serve,earned,Block,us,11 -- 2
25,3,serve,errors,Serve,them,11 -- 3
26,3,receive,in_rally,2-Pass,none,11 -- 3
27,3,receive,in_rally,Hit Still In Play,none,11 -- 3
27,3,receive,errors,Dig,them,11 -- 4
28,3,receive,in_rally,3-Pass,none,11 -- 4
28,3,receive,earned,Spike,us,12 -- 4
29,4,serve,in_rally,3-Serve,none,12 -- 4
30,4,serve,in_rally,Dig,none,12 -- 4
30,4,serve,errors,Spike,them,12 -- 5
31,4,receive,in_rally,2-Pass,none,12 -- 5
31,4,receive,earned,Spike,us,13 -- 5
32,5,serve,in_rally,3-Serve,none,13 -- 5
32,5,serve,errors,Dump,us,14 -- 5
33,5,serve,earned,Ace,us,15 -- 5
34,5,serve,in_rally,3-Serve,none,15 -- 5
34,5,serve,earned,Spike,them,15 -- 6
35,5,receive,earned,Ace,them,15 -- 7
36,5,receive,errors,Serve,us,16 -- 7
37,6,serve,in_rally,3-Serve,none,16 -- 7
37,6,serve,errors,Spike,us,17 -- 7
38,6,serve,errors,Serve,them,17 -- 8
39,6,receive,errors,Serve,us,18 -- 8
40,1,serve,errors,Serve,them,18 -- 9
41,1,receive,errors,Receive,them,18 -- 10
42,1,receive,in_rally,2-Pass,none,18 -- 10
42,1,receive,earned,Tip,us,19 -- 10
43,2,serve,in_rally,2-Serve,none,19 -- 10
43,2,serve,earned,Block,us,20 -- 10
44,2,serve,in_rally,2-Serve,none,20 -- 10
44,2,serve,earned,Tip,them,20 -- 11
45,2,receive,in_rally,3-Pass,none,20 -- 11
46,2,receive,in_rally,Hit Still In Play,none,20 -- 11
46,2,receive,errors,3rd Ball Return,us,21 -- 11
47,3,serve,in_rally,2-Serve,none,21 -- 11
47,3,serve,errors,Tip,us,22 -- 11
undefined,3,serve,timeout,them 2,undefined,undefined
48,3,serve,in_rally,2-Serve,none,22 -- 11
48,3,serve,earned,Spike,them,22 -- 12
49,3,receive,in_rally,1-Pass,none,22 -- 12
49,3,receive,errors,3rd Ball Return,them,22 -- 13
50,3,receive,in_rally,2-Pass,none,22 -- 13
51,3,receive,in_rally,Hit Still In Play,none,22 -- 13
51,3,receive,errors,Dig,them,22 -- 14
52,3,receive,in_rally,3-Pass,none,22 -- 14
52,3,receive,earned,Spike,us,23 -- 14
53,4,serve,in_rally,2-Serve,none,23 -- 14
53,4,serve,earned,Spike,them,23 -- 15
54,4,receive,in_rally,3-Pass,none,23 -- 15
54,4,receive,earned,Spike,us,24 -- 15
55,5,serve,errors,Serve,them,24 -- 16
56,5,receive,in_rally,3-Pass,none,24 -- 16
57,5,receive,in_rally,Hit Still In Play,none,24 -- 16
57,5,receive,errors,Spike,us,25 -- 16
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,3-Pass,none,0 -- 0
1,6,receive,earned,Spike,us,1 -- 0
2,1,serve,in_rally,3-Serve,none,1 -- 0
3,1,serve,in_rally,Dig,none,1 -- 0
3,1,serve,errors,Tip,them,1 -- 1
4,1,receive,in_rally,3-Pass,none,1 -- 1
4,1,receive,earned,Spike,us,2 -- 1
5,2,serve,in_rally,2-Serve,none,2 -- 1
5,2,serve,earned,Block,us,3 -- 1
6,2,serve,in_rally,3-Serve,none,3 -- 1
7,2,serve,in_rally,1-FB Pass,none,3 -- 1
8,2,serve,in_rally,Hit Still In Play,none,3 -- 1
8,2,serve,errors,Dig,them,3 -- 2
9,2,receive,in_rally,2-Pass,none,3 -- 2
10,2,receive,in_rally,Hit Still In Play,none,3 -- 2
11,2,receive,in_rally,Dig,none,3 -- 2
12,2,receive,in_rally,3-FB Pass,none,3 -- 2
13,2,receive,in_rally,Hit Still In Play,none,3 -- 2
13,2,receive,earned,Spike,us,4 -- 2
14,3,serve,in_rally,3-Serve,none,4 -- 2
14,3,serve,errors,3rd Ball Return,us,5 -- 2
15,3,serve,in_rally,1-Serve,none,5 -- 2
15,3,serve,errors,Spike,us,6 -- 2
16,3,serve,in_rally,2-Serve,none,6 -- 2
16,3,serve,earned,Block,us,7 -- 2
17,3,serve,in_rally,2-Serve,none,7 -- 2
17,3,serve,earned,Spike,them,7 -- 3
18,3,receive,earned,Ace,them,7 -- 4
19,3,receive,errors,Serve,us,8 -- 4
20,4,serve,in_rally,3-Serve,none,8 -- 4
21,4,serve,in_rally,Dig,none,8 -- 4
21,4,serve,earned,Dump,us,9 -- 4
22,4,serve,in_rally,2-Serve,none,9 -- 4
23,4,serve,in_rally,Dig,none,9 -- 4
24,4,serve,in_rally,Hit Still In Play,none,9 -- 4
24,4,serve,errors,Dig,them,9 -- 5
25,4,receive,in_rally,3-Pass,none,9 -- 5
26,4,receive,in_rally,Hit Still In Play,none,9 -- 5
27,4,receive,in_rally,Dig,none,9 -- 5
27,4,receive,earned,Tip,us,10 -- 5
28,5,serve,in_rally,3-Serve,none,10 -- 5
28,5,serve,errors,2nd Ball Return,us,11 -- 5
29,5,serve,in_rally,2-Serve,none,11 -- 5
29,5,serve,errors,Dig,them,11 -- 6
30,5,receive,in_rally,2-Pass,none,11 -- 6
30,5,receive,faults,Net,them,11 -- 7
31,5,receive,in_rally,1-Pass,none,11 -- 7
32,5,receive,in_rally,Hit Still In Play,none,11 -- 7
33,5,receive,in_rally,Dig,none,11 -- 7
34,5,receive,in_rally,Hit Still In Play,none,11 -- 7
34,5,receive,earned,Dump,them,11 -- 8
35,5,receive,errors,Serve,us,12 -- 8
36,6,serve,in_rally,2-Serve,none,12 -- 8
36,6,serve,errors,Spike,us,13 -- 8
37,6,serve,in_rally,1-Serve,none,13 -- 8
38,6,serve,in_rally,Dig,none,13 -- 8
39,6,serve,in_rally,Dig,none,13 -- 8
39,6,serve,earned,Spike,us,14 -- 8
40,6,serve,in_rally,2-Serve,none,14 -- 8
40,6,serve,earned,Spike,them,14 -- 9
41,6,receive,errors,Serve,us,15 -- 9
42,1,serve,in_rally,1-Serve,none,15 -- 9
43,1,serve,in_rally,Dig,none,15 -- 9
43,1,serve,errors,Spike,them,15 -- 10
44,1,receive,in_rally,2-Pass,none,15 -- 10
44,1,receive,earned,Spike,us,16 -- 10
45,2,serve,in_rally,2-Serve,none,16 -- 10
45,2,serve,errors,Dig,them,16 -- 11
46,2,receive,in_rally,3-Pass,none,16 -- 11
46,2,receive,earned,Spike,us,17 -- 11
47,3,serve,errors,Serve,them,17 -- 12
48,3,receive,in_rally,2-Pass,none,17 -- 12
48,3,receive,earned,Spike,us,18 -- 12
49,4,serve,in_rally,2-Serve,none,18 -- 12
49,4,serve,earned,Spike,them,18 -- 13
50,4,receive,in_rally,3-Pass,none,18 -- 13
50,4,receive,earned,Spike,us,19 -- 13
51,5,serve,in_rally,2-Serve,none,19 -- 13
51,5,serve,earned,Spike,them,19 -- 14
52,5,receive,in_rally,1-Pass,none,19 -- 14
52,5,receive,earned,Spike,us,20 -- 14
53,6,serve,in_rally,3-Serve,none,20 -- 14
54,6,serve,in_rally,Dig,none,20 -- 14
54,6,serve,faults,Under,them,20 -- 15
55,6,receive,in_rally,1-Pass,none,20 -- 15
56,6,receive,in_rally,Dig,none,20 -- 15
57,6,receive,in_rally,Hit Still In Play,none,20 -- 15
58,6,receive,in_rally,Dig,none,20 -- 15
58,6,receive,earned,Spike,us,21 -- 15
undefined,6,receive,timeout,them 1,undefined,undefined
58,1,serve,errors,Serve,them,21 -- 16
59,1,receive,in_rally,2-Pass,none,21 -- 16
60,1,receive,in_rally,Hit Still In Play,none,21 -- 16
61,1,receive,in_rally,Dig,none,21 -- 16
62,1,receive,in_rally,Hit Still In Play,none,21 -- 16
62,1,receive,errors,3rd Ball Return,us,22 -- 16
63,2,serve,in_rally,3-Serve,none,22 -- 16
64,2,serve,in_rally,3-FB Pass,none,22 -- 16
64,2,serve,earned,Spike,us,23 -- 16
undefined,2,serve,timeout,them 2,undefined,undefined
64,2,serve,errors,Serve,them,23 -- 17
65,2,receive,errors,Receive,them,23 -- 18
66,2,receive,in_rally,1-Pass,none,23 -- 18
67,2,receive,in_rally,Hit Still In Play,none,23 -- 18
67,2,receive,errors,Spike,us,24 -- 18
68,3,serve,in_rally,1-Serve,none,24 -- 18
69,3,serve,in_rally,Dig,none,24 -- 18
70,3,serve,in_rally,Hit Still In Play,none,24 -- 18
70,3,serve,errors,3rd Ball Return,us,25 -- 18
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,2-Pass,none,0 -- 0
1,6,receive,earned,Spike,them,0 -- 1
2,6,receive,earned,Spike,them,0 -- 2
3,6,receive,in_rally,3-Pass,none,0 -- 2
3,6,receive,earned,Spike,us,1 -- 2
4,1,serve,in_rally,2-Serve,none,1 -- 2
4,1,serve,errors,Spike,us,2 -- 2
5,1,serve,in_rally,3-Serve,none,2 -- 2
5,1,serve,faults,Over the Net,them,2 -- 3
6,1,receive,in_rally,3-Pass,none,2 -- 3
6,1,receive,earned,Spike,us,3 -- 3
7,2,serve,errors,Serve,them,3 -- 4
8,2,receive,in_rally,2-Pass,none,3 -- 4
8,2,receive,earned,Spike,us,4 -- 4
9,3,serve,in_rally,1-Serve,none,4 -- 4
9,3,serve,errors,3rd Ball Return,us,5 -- 4
10,3,serve,in_rally,2-Serve,none,5 -- 4
11,3,serve,in_rally,Dig,none,5 -- 4
11,3,serve,errors,Spike,us,6 -- 4
12,3,serve,earned,Ace,us,7 -- 4
13,3,serve,in_rally,2-Serve,none,7 -- 4
14,3,serve,in_rally,Dig,none,7 -- 4
15,3,serve,in_rally,Hit Still In Play,none,7 -- 4
15,3,serve,errors,Dig,them,7 -- 5
16,3,receive,in_rally,2-Pass,none,7 -- 5
17,3,receive,in_rally,Hit Still In Play,none,7 -- 5
17,3,receive,errors,3rd Ball Return,us,8 -- 5
18,4,serve,in_rally,1-Serve,none,8 -- 5
18,4,serve,errors,Spike,us,9 -- 5
19,4,serve,errors,Serve,them,9 -- 6
20,4,receive,in_rally,3-Pass,none,9 -- 6
21,4,receive,in_rally,Hit Still In Play,none,9 -- 6
22,4,receive,in_rally,Dig,none,9 -- 6
22,4,receive,faults,Net,them,9 -- 7
23,4,receive,in_rally,3-Pass,none,9 -- 7
24,4,receive,in_rally,Dig,none,9 -- 7
24,4,receive,errors,Set,them,9 -- 8
25,4,receive,errors,Serve,us,10 -- 8
26,5,serve,in_rally,1-Serve,none,10 -- 8
26,5,serve,earned,Spike,them,10 -- 9
27,5,receive,in_rally,3-Pass,none,10 -- 9
28,5,receive,in_rally,Hit Still In Play,none,10 -- 9
29,5,receive,in_rally,Dig,none,10 -- 9
30,5,receive,in_rally,Hit Still In Play,none,10 -- 9
30,5,receive,earned,Spike,us,11 -- 9
31,6,serve,in_rally,2-Serve,none,11 -- 9
32,6,serve,in_rally,Dig,none,11 -- 9
32,6,serve,errors,Tip,them,11 -- 10
33,6,receive,in_rally,2-Pass,none,11 -- 10
33,6,receive,earned,Spike,us,12 -- 10
34,1,serve,in_rally,2-Serve,none,12 -- 10
34,1,serve,errors,Dig,them,12 -- 11
35,1,receive,in_rally,3-Pass,none,12 -- 11
35,1,receive,errors,Spike,them,12 -- 12
36,1,receive,in_rally,1-Pass,none,12 -- 12
36,1,receive,errors,Tip,them,12 -- 13
37,1,receive,in_rally,1-Pass,none,12 -- 13
37,1,receive,earned,Tip,them,12 -- 14
38,1,receive,in_rally,2-Pass,none,12 -- 14
39,1,receive,in_rally,Hit Still In Play,none,12 -- 14
39,1,receive,earned,Spike,them,12 -- 15
undefined,1,receive,timeout,us 1,undefined,undefined
40,1,receive,in_rally,3-Pass,none,12 -- 15
40,1,receive,errors,Spike,them,12 -- 16
41,1,receive,in_rally,1-Pass,none,12 -- 16
41,1,receive,errors,Dig,them,12 -- 17
42,1,receive,in_rally,2-Pass,none,12 -- 17
43,1,receive,in_rally,Hit Still In Play,none,12 -- 17
44,1,receive,in_rally,Dig,none,12 -- 17
44,1,receive,errors,Spike,them,12 -- 18
45,1,receive,in_rally,2-Pass,none,12 -- 18
45,1,receive,earned,Spike,us,13 -- 18
46,2,serve,in_rally,1-Serve,none,13 -- 18
46,2,serve,earned,Spike,them,13 -- 19
47,2,receive,in_rally,2-Pass,none,13 -- 19
47,2,receive,earned,Spike,us,14 -- 19
,,,,,,
48,3,serve,in_rally,3-Serve,none,14 -- 19
48,3,serve,earned,Spike,them,14 -- 20
,,,,,,
,,,,,,
48,3,receive,errors,Serve,us,16 -- 20
49,4,serve,in_rally,3-Serve,none,16 -- 20
50,4,serve,in_rally,Dig,none,16 -- 20
50,4,serve,earned,Spike,us,17 -- 20
51,4,serve,earned,Ace,us,18 -- 20
52,4,serve,in_rally,3-Serve,none,18 -- 20
52,4,serve,errors,3rd Ball Return,us,19 -- 20
53,4,serve,earned,Ace,us,20 -- 20
54,4,serve,in_rally,1-Serve,none,20 -- 20
55,4,serve,in_rally,Dig,none,20 -- 20
55,4,serve,errors,Set,them,20 -- 21
56,4,receive,in_rally,2-Pass,none,20 -- 21
57,4,receive,in_rally,Hit Still In Play,none,20 -- 21
57,4,receive,earned,Spike,us,21 -- 21
58,5,serve,in_rally,3-Serve,none,21 -- 21
59,5,serve,in_rally,Dig,none,21 -- 21
60,5,serve,in_rally,Hit Still In Play,none,21 -- 21
60,5,serve,errors,Dig,them,21 -- 22
61,5,receive,in_rally,3-Pass,none,21 -- 22
62,5,receive,in_rally,Hit Still In Play,none,21 -- 22
62,5,receive,earned,Spike,us,22 -- 22
63,6,serve,in_rally,3-Serve,none,22 -- 22
64,6,serve,in_rally,Dig,none,22 -- 22
65,6,serve,in_rally,Hit Still In Play,none,22 -- 22
66,6,serve,in_rally,3-FB Pass,none,22 -- 22
66,6,serve,earned,Spike,us,23 -- 22
67,6,serve,in_rally,1-Serve,none,23 -- 22
67,6,serve,errors,Dig,them,23 -- 23
68,6,receive,in_rally,3-Pass,none,23 -- 23
68,6,receive,earned,Spike,us,24 -- 23
